x,y,z,id
239,86,426,1
240,86,426,1
241,86,426,1
242,86,426,1
243,86,426,1
244,86,426,1
245,86,426,1
246,86,426,1
247,86,426,1
248,86,426,1
249,86,426,1
250,86,426,1
251,86,426,1
252,86,426,1
253,86,426,1
254,86,426,1
255,86,426,1
256,86,426,1
257,86,426,1
258,86,426,1
259,86,426,1
260,86,426,1
261,86,426,1
262,86,426,1
263,86,426,1
264,86,426,1
265,86,426,1
266,86,426,1
267,86,426,1
268,86,426,1
269,86,426,1
270,86,426,1
271,86,426,1
272,86,426,1
273,86,426,1
274,86,426,1
275,86,426,1
276,86,426,1
277,86,426,1
278,86,426,1
279,86,426,1
280,86,426,1
281,86,426,1
282,86,426,1
283,87,426,1
284,87,426,1
285,87,426,1
286,87,426,1
287,87,426,1
288,87,426,1
289,87,426,1
290,87,426,1
291,87,426,1
292,87,426,1
293,87,426,1
294,87,426,1
295,87,426,1
296,87,426,1
297,87,426,1
298,87,426,1
299,87,426,1
300,87,426,1
301,87,426,1
302,87,426,1
303,87,426,1
304,87,426,1
305,87,426,1
306,87,426,1
307,87,426,1
308,87,426,1
309,87,426,1
310,87,426,1
311,87,426,1
312,87,426,1
313,87,426,1
314,87,426,1
315,87,426,1
316,87,426,1
317,87,426,1
318,87,426,1
319,87,426,1
320,87,426,1
321,87,426,1
322,87,426,1
323,87,426,1
324,87,426,1
325,87,426,1
326,87,426,1
327,87,426,1
328,87,426,1
329,87,426,1
330,87,426,1
331,87,426,1
332,87,426,1
333,87,426,1
334,87,426,1
335,87,426,1
336,87,426,1
337,87,426,1
338,87,426,1
339,87,426,1
340,87,426,1
341,87,426,1
342,87,426,1
343,87,426,1
344,87,426,1
345,87,426,1
346,87,426,1
347,87,426,1
348,87,426,1
349,87,426,1
350,87,426,1
351,87,426,1
352,87,426,1
353,87,426,1
354,87,426,1
355,87,426,1
356,87,426,1
357,87,426,1
358,87,426,1
359,87,426,1
360,87,426,1
361,87,426,1
362,87,426,1
363,87,426,1
364,87,426,1
365,87,426,1
366,87,426,1
367,87,426,1
368,87,426,1
369,87,426,1
370,87,426,1
